,title,director_and_actors,year,ratings,number_of_users_rated
91,Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",(2007),8.3,"8.3 based on 183,868 user ratings"
92,Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",(1958),8.3,"8.3 based on 387,570 user ratings"
93,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",(1931),8.3,"8.3 based on 152,592 user ratings"
94,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",(1941),8.3,"8.3 based on 427,527 user ratings"
95,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",(2012),8.3,"8.3 based on 310,292 user ratings"
96,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",(2000),8.3,"8.3 based on 805,182 user ratings"
97,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",(1952),8.3,"8.3 based on 232,194 user ratings"
98,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",(1959),8.3,"8.3 based on 316,353 user ratings"
99,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",(2004),8.3,"8.3 based on 961,055 user ratings"
100,Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",(1952),8.3,"8.3 based on 74,999 user ratings"
101,Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",(1948),8.3,"8.3 based on 157,815 user ratings"
102,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",(1962),8.3,"8.3 based on 283,130 user ratings"
103,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",(1921),8.2,"8.2 based on 121,948 user ratings"
104,Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",(1987),8.2,"8.2 based on 710,563 user ratings"
105,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",(2016),8.2,"8.2 based on 175,850 user ratings"
